Cohort,Feature Index,Feature Name,Tier,Normalized Importance
Overall,0,Age,Micro,0.1883961
Overall,1,Asian,Micro,0.4157909
Overall,2,Black_or_African_American,Micro,0.39363974
Overall,3,Hispanic_or_Latino,Micro,0.0
Overall,4,White,Micro,0.25190866
Overall,5,Days_Cared_For,Micro,0.33850032
Overall,6,BMI,Micro,0.2719077
Overall,7,POP_URB,Meso,0.17049101
Overall,8,POPPCT_URB,Meso,0.28084832
Overall,9,POP_RUR,Meso,0.15642744
Overall,10,POPPCT_RUR,Meso,0.16624321
Overall,11,ACS_PCT_BACHELOR_DGR,Meso,0.37748137
Overall,12,ACS_PCT_COLLEGE_ASSOCIATE_DGR,Meso,0.06336537
Overall,13,ACS_PCT_GRADUATE_DGR,Meso,0.46711436
Overall,14,ACS_PCT_HS_GRADUATE,Meso,0.50572526
Overall,15,ACS_PCT_LT_HS,Meso,0.6198025
Overall,16,ACS_PCT_NO_WORK_NO_SCHL_16_19,Meso,0.47780612
Overall,17,ACS_PCT_POSTHS_ED,Meso,0.11723664
Overall,18,ACS_PCT_VET_BACHELOR,Meso,0.18204379
Overall,19,ACS_PCT_VET_COLLEGE,Meso,0.3610295
Overall,20,ACS_PCT_VET_HS,Meso,0.34549683
Overall,21,ACS_PCT_HH_LIMIT_ENGLISH,Meso,0.17635861
Overall,22,ACS_PCT_HH_BROADBAND,Meso,0.26908404
Overall,23,ACS_PCT_HH_BROADBAND_ONLY,Meso,0.5625242
Overall,24,ACS_PCT_HH_CELLULAR,Meso,0.29858863
Overall,25,ACS_PCT_HH_CELLULAR_ONLY,Meso,0.5006332
Overall,26,ACS_PCT_HH_DIAL_INTERNET_ONLY,Meso,0.2851437
Overall,27,ACS_PCT_HH_INTERNET,Meso,0.41227895
Overall,28,ACS_PCT_HH_INTERNET_NO_SUBS,Meso,0.3486501
Overall,29,ACS_PCT_HH_NO_COMP_DEV,Meso,0.2680256
Overall,30,ACS_PCT_HH_NO_INTERNET,Meso,0.24273181
Overall,31,ACS_PCT_HH_OTHER_COMP,Meso,0.48454973
Overall,32,ACS_PCT_HH_PC,Meso,0.41236356
Overall,33,ACS_PCT_HH_PC_ONLY,Meso,0.25032145
Overall,34,ACS_PCT_HH_SAT_INTERNET,Meso,0.2823236
Overall,35,ACS_PCT_HH_SMARTPHONE,Meso,0.32219565
Overall,36,ACS_PCT_HH_SMARTPHONE_ONLY,Meso,0.33970943
Overall,37,ACS_PCT_HH_TABLET,Meso,0.29436374
Overall,38,ACS_PCT_HH_TABLET_ONLY,Meso,0.26638553
Overall,39,ACS_PCT_CHILDREN_GRANDPARENT,Meso,0.38386983
Overall,40,ACS_PCT_CHILD_1FAM,Meso,0.50923634
Overall,41,ACS_PCT_GRANDP_NO_RESPS,Meso,0.38117132
Overall,42,ACS_PCT_GRANDP_RESPS_NO_P,Meso,0.41274515
Overall,43,ACS_PCT_GRANDP_RESPS_P,Meso,0.46834993
Overall,44,ACS_PCT_HH_1PERS,Meso,0.3278253
Overall,45,ACS_PCT_HH_ABOVE65,Meso,0.5885415
Overall,46,ACS_PCT_HH_ALONE_ABOVE65,Meso,0.27232894
Overall,47,ACS_TOT_GRANDCHILDREN_GP,Meso,0.5812251
Overall,48,ACS_PCT_HEALTH_INC_138_199,Meso,0.11956147
Overall,49,ACS_PCT_HEALTH_INC_200_399,Meso,0.13333245
Overall,50,ACS_PCT_HEALTH_INC_ABOVE400,Meso,0.37525788
Overall,51,ACS_PCT_HEALTH_INC_BELOW137,Meso,0.1844497
Overall,52,ACS_PCT_HH_1FAM_FOOD_STMP,Meso,0.32547754
Overall,53,ACS_PCT_HH_FOOD_STMP_BLW_POV,Meso,0.32861316
Overall,54,ACS_PCT_HH_NO_FD_STMP_BLW_POV,Meso,0.023379644
Overall,55,ACS_PCT_HH_PUB_ASSIST,Meso,0.47283745
Overall,56,ACS_PCT_INC50,Meso,0.49619856
Overall,57,ACS_PCT_INC50_ABOVE65,Meso,0.22011536
Overall,58,ACS_PCT_NONVET_POV_18_64,Meso,0.08606907
Overall,59,ACS_PCT_PERSON_INC_100_124,Meso,0.2302572
Overall,60,ACS_PCT_PERSON_INC_125_199,Meso,0.5462063
Overall,61,ACS_PCT_PERSON_INC_ABOVE200,Meso,0.24420267
Overall,62,ACS_PCT_PERSON_INC_BELOW99,Meso,0.23424943
Overall,63,ACS_PCT_POV_AIAN,Meso,0.5200356
Overall,64,ACS_PCT_POV_ASIAN,Meso,0.38952592
Overall,65,ACS_PCT_POV_BLACK,Meso,0.5674893
